layer,dim,numvector,loss,epoch,train_base_acc,test_new_acc
4,8,8,0.2,5,91.67,77.23
4,8,8,0.2,6,92.53,75.83
4,8,8,0.2,7,92.87,79.07
4,8,8,0.2,8,93.5,76.87
4,8,8,0.2,9,94.47,76.8
4,8,8,0.2,10,94.6,71.23
4,8,8,0.4,5,84.57,71.2
4,8,8,0.4,6,79.0,59.4
4,8,8,0.4,7,92.23,74.93
4,8,8,0.4,8,92.8,77.23
4,8,8,0.4,9,94.63,71.9
4,8,8,0.4,10,95.07,74.8
4,8,8,0.8,5,86.77,69.87
4,8,8,0.8,6,78.37,58.87
4,8,8,0.8,7,91.1,73.3
4,8,8,0.8,8,92.1,77.87
4,8,8,0.8,9,94.8,74.4
4,8,8,0.8,10,95.1,71.17
4,8,8,1.0,5,91.97,78.63
4,8,8,1.0,6,89.1,76.87
4,8,8,1.0,7,77.97,56.27
4,8,8,1.0,8,94.47,76.7
4,8,8,1.0,9,93.17,77.93
4,8,8,1.0,10,93.03,68.0
4,8,8,1.2,5,92.27,76.53
4,8,8,1.2,6,90.37,72.57
4,8,8,1.2,7,92.97,72.73
4,8,8,1.2,8,91.37,65.4
4,8,8,1.2,9,91.17,69.43
4,8,8,1.2,10,90.3,66.37
4,8,8,1.5,5,89.3,63.13
4,8,8,1.5,6,83.63,73.57
4,8,8,1.5,7,85.5,59.53
4,8,8,1.5,8,77.93,38.3
4,8,8,1.5,9,89.73,73.2
4,8,8,1.5,10,93.07,58.67
4,8,8,2.0,5,90.33,74.33
4,8,8,2.0,6,87.63,71.97
4,8,8,2.0,7,87.03,66.8
4,8,8,2.0,8,87.67,68.13
4,8,8,2.0,9,92.03,68.67
4,8,8,2.0,10,92.57,72.43
4,8,16,0.2,5,91.77,78.97
4,8,16,0.2,6,92.53,77.23
4,8,16,0.2,7,93.37,73.53
4,8,16,0.2,8,93.77,78.73
4,8,16,0.2,9,94.37,73.97
4,8,16,0.2,10,94.5,76.5
4,8,16,0.4,5,79.97,67.23
4,8,16,0.4,6,93.43,77.97
4,8,16,0.4,7,93.03,74.07
4,8,16,0.4,8,94.13,79.13
4,8,16,0.4,9,94.43,72.83
4,8,16,0.4,10,92.63,64.37
4,8,16,0.8,5,92.87,76.27
4,8,16,0.8,6,93.3,72.57
4,8,16,0.8,7,93.2,75.63
4,8,16,0.8,8,93.5,74.73
4,8,16,0.8,9,93.07,71.93
4,8,16,0.8,10,95.47,72.47
4,8,16,1.0,5,75.97,56.87
4,8,16,1.0,6,93.53,79.7
4,8,16,1.0,7,88.07,73.87
4,8,16,1.0,8,91.6,68.07
4,8,16,1.0,9,90.4,57.8
4,8,16,1.0,10,91.43,58.9
4,8,16,1.2,5,84.0,60.4
4,8,16,1.2,6,84.53,64.9
4,8,16,1.2,7,76.1,57.27
4,8,16,1.2,8,93.4,75.1
4,8,16,1.2,9,92.63,71.2
4,8,16,1.2,10,88.63,59.13
4,8,16,1.5,5,92.43,68.47
4,8,16,1.5,6,91.37,71.3
4,8,16,1.5,7,87.43,61.27
4,8,16,1.5,8,89.57,77.1
4,8,16,1.5,9,92.47,59.77
4,8,16,1.5,10,92.13,68.6
4,8,16,2.0,5,76.5,64.07
4,8,16,2.0,6,85.57,58.0
4,8,16,2.0,7,77.03,47.53
4,8,16,2.0,8,89.73,51.2
4,8,16,2.0,9,93.3,75.37
4,8,16,2.0,10,94.7,68.63
4,8,32,0.2,5,90.23,72.97
4,8,32,0.2,6,92.13,74.73
4,8,32,0.2,7,93.07,76.3
4,8,32,0.2,8,93.0,72.27
4,8,32,0.2,9,93.73,70.53
4,8,32,0.2,10,94.7,73.63
4,8,32,0.4,5,92.13,76.7
4,8,32,0.4,6,92.77,76.63
4,8,32,0.4,7,91.23,70.83
4,8,32,0.4,8,92.73,74.5
4,8,32,0.4,9,94.33,81.43
4,8,32,0.4,10,95.03,70.63
4,8,32,0.8,5,91.63,76.37
4,8,32,0.8,6,93.3,76.87
4,8,32,0.8,7,92.03,76.77
4,8,32,0.8,8,83.4,65.93
4,8,32,0.8,9,92.93,69.93
4,8,32,0.8,10,94.93,68.9
4,8,32,1.0,5,81.67,65.0
4,8,32,1.0,6,78.23,58.23
4,8,32,1.0,7,89.5,73.4
4,8,32,1.0,8,93.5,78.3
4,8,32,1.0,9,94.13,79.37
4,8,32,1.0,10,95.0,72.63
4,8,32,1.2,5,83.23,70.33
4,8,32,1.2,6,85.6,65.5
4,8,32,1.2,7,93.23,79.87
4,8,32,1.2,8,93.77,76.3
4,8,32,1.2,9,94.47,73.13
4,8,32,1.2,10,94.87,73.77
4,8,32,1.5,5,84.9,67.4
4,8,32,1.5,6,92.37,76.23
4,8,32,1.5,7,92.07,77.13
4,8,32,1.5,8,81.83,64.43
4,8,32,1.5,9,94.7,74.37
4,8,32,1.5,10,93.9,75.43
4,8,32,2.0,5,71.4,50.97
4,8,32,2.0,6,73.33,48.1
4,8,32,2.0,7,90.67,68.43
4,8,32,2.0,8,93.83,77.13
4,8,32,2.0,9,89.53,60.1
4,8,32,2.0,10,94.17,72.33
4,8,64,0.2,5,92.1,75.47
4,8,64,0.2,6,91.97,73.87
4,8,64,0.2,7,92.57,76.3
4,8,64,0.2,8,92.77,69.8
4,8,64,0.2,9,93.83,69.57
4,8,64,0.2,10,95.2,69.93
4,8,64,0.4,5,91.87,72.63
4,8,64,0.4,6,93.23,75.43
4,8,64,0.4,7,93.27,70.37
4,8,64,0.4,8,93.3,75.33
4,8,64,0.4,9,94.37,72.87
4,8,64,0.4,10,94.77,72.93
4,8,64,0.8,5,91.7,77.5
4,8,64,0.8,6,84.13,58.8
4,8,64,0.8,7,93.43,80.07
4,8,64,0.8,8,94.2,78.17
4,8,64,0.8,9,94.7,73.83
4,8,64,0.8,10,95.0,70.27
4,8,64,1.0,5,92.03,78.97
4,8,64,1.0,6,85.6,66.43
4,8,64,1.0,7,93.1,78.6
4,8,64,1.0,8,93.07,72.93
4,8,64,1.0,9,94.23,76.83
4,8,64,1.0,10,94.93,71.67
4,8,64,1.2,5,91.87,78.3
4,8,64,1.2,6,93.2,81.23
4,8,64,1.2,7,90.5,73.5
4,8,64,1.2,8,81.4,60.4
4,8,64,1.2,9,94.57,70.97
4,8,64,1.2,10,95.43,72.43
4,8,64,1.5,5,92.37,77.87
4,8,64,1.5,6,77.93,56.07
4,8,64,1.5,7,91.97,74.67
4,8,64,1.5,8,92.3,76.0
4,8,64,1.5,9,93.87,73.73
4,8,64,1.5,10,92.73,62.7
4,8,64,2.0,5,90.23,77.87
4,8,64,2.0,6,91.5,71.5
4,8,64,2.0,7,89.57,70.47
4,8,64,2.0,8,81.07,51.67
4,8,64,2.0,9,89.83,76.13
4,8,64,2.0,10,94.6,73.07
4,8,128,0.2,5,92.37,76.07
4,8,128,0.2,6,93.53,75.83
4,8,128,0.2,7,92.87,75.73
4,8,128,0.2,8,93.57,72.2
4,8,128,0.2,9,94.17,69.73
4,8,128,0.2,10,94.43,71.43
4,8,128,0.4,5,92.37,78.73
4,8,128,0.4,6,91.4,74.1
4,8,128,0.4,7,92.9,77.7
4,8,128,0.4,8,93.53,73.97
4,8,128,0.4,9,93.17,75.27
4,8,128,0.4,10,94.27,72.93
4,8,128,0.8,5,92.5,74.07
4,8,128,0.8,6,92.03,72.1
4,8,128,0.8,7,78.17,58.8
4,8,128,0.8,8,93.37,75.17
4,8,128,0.8,9,94.43,67.8
4,8,128,0.8,10,92.73,66.6
4,8,128,1.0,5,87.57,70.0
4,8,128,1.0,6,91.77,72.8
4,8,128,1.0,7,92.9,82.3
4,8,128,1.0,8,92.93,75.67
4,8,128,1.0,9,94.33,73.43
4,8,128,1.0,10,89.83,61.13
4,8,128,1.2,5,91.23,69.7
4,8,128,1.2,6,90.2,64.7
4,8,128,1.2,7,93.33,74.23
4,8,128,1.2,8,92.97,79.8
4,8,128,1.2,9,93.67,71.77
4,8,128,1.2,10,95.0,72.77
4,8,128,1.5,5,89.57,69.3
4,8,128,1.5,6,89.13,76.57
4,8,128,1.5,7,85.4,56.4
4,8,128,1.5,8,92.67,65.53
4,8,128,1.5,9,84.77,54.0
4,8,128,1.5,10,95.13,66.9
4,8,128,2.0,5,71.77,43.97
4,8,128,2.0,6,79.47,54.8
4,8,128,2.0,7,80.67,53.17
4,8,128,2.0,8,77.43,58.83
4,8,128,2.0,9,93.93,73.23
4,8,128,2.0,10,81.4,53.5
4,16,8,0.2,5,91.6,77.63
4,16,8,0.2,6,91.1,75.7
4,16,8,0.2,7,79.57,59.0
4,16,8,0.2,8,93.17,71.27
4,16,8,0.2,9,93.57,72.4
4,16,8,0.2,10,94.37,76.07
4,16,8,0.4,5,92.07,72.57
4,16,8,0.4,6,91.9,77.97
4,16,8,0.4,7,93.73,74.7
4,16,8,0.4,8,93.4,77.2
4,16,8,0.8,10,93.2,70.6
4,16,8,1.0,5,74.07,57.83
4,16,8,1.0,6,93.53,75.7
4,16,8,1.0,7,79.3,55.73
4,16,8,1.0,8,93.1,64.1
4,16,8,1.0,9,91.97,62.53
4,16,8,1.0,10,91.9,68.17
4,16,8,1.2,5,84.73,60.43
4,16,8,1.2,6,72.37,43.4
4,16,8,1.2,7,85.17,66.0
4,16,8,1.2,8,83.4,41.57
4,16,8,1.2,9,88.17,54.93
4,16,8,1.2,10,84.2,57.73
4,16,8,1.5,5,76.4,59.13
4,16,8,1.5,6,73.0,52.23
4,16,8,1.5,7,90.03,66.87
4,16,8,1.5,8,93.63,70.9
4,16,8,1.5,9,80.77,44.97
4,16,8,1.5,10,93.87,73.8
