layer,dim,numvector,loss,epoch,train_base_acc,test_new_acc
4,8,32,0.4,9,94.43,71.5
4,8,32,0.4,9,94.4,70.4
4,8,32,0.4,9,94.03,70.9
4,8,32,0.4,9,94.4,70.5
4,8,32,0.4,9,94.4,71.4
4,8,32,0.4,9,93.8,66.17
4,8,32,0.4,9,94.43,72.67
4,8,32,0.4,9,93.6,71.87
4,8,32,0.4,9,94.83,70.53
4,8,32,0.4,9,94.07,74.23
4,8,32,0.4,9,94.23,69.33
4,8,32,0.4,9,94.4,73.77
4,8,32,0.4,9,92.13,61.97
4,8,32,0.4,9,94.67,71.4
4,8,32,0.4,9,93.77,72.83
4,8,32,0.4,9,94.03,75.5
4,8,32,0.4,9,94.0,73.03
4,8,32,0.4,9,92.77,77.27
4,8,32,0.4,9,94.33,73.3
4,8,32,0.4,9,94.4,74.43
4,8,32,0.4,9,94.2,76.8
4,8,32,0.4,9,94.87,76.37
4,8,32,0.4,9,94.4,70.57
4,8,32,0.4,9,94.07,70.43
4,8,32,0.4,9,94.4,74.53
4,8,32,0.4,9,93.97,79.83
4,8,32,0.4,9,94.03,74.83
4,8,32,0.4,9,92.07,60.8
4,8,32,0.4,9,94.83,75.73
4,8,32,0.4,9,94.43,80.07
4,8,32,0.4,9,94.3,70.33
4,8,32,0.4,9,94.2,75.23
4,8,32,0.4,9,94.45,69.1
4,8,32,0.4,9,94.03,72.63
4,8,32,0.4,9,94.23,70.8
4,8,32,0.4,9,93.33,69.13
4,8,32,0.4,9,94.4,75.23
4,8,32,0.4,9,93.07,77.3
4,8,32,0.4,9,93.6,70.27
4,8,32,0.4,9,93.57,73.37
4,8,32,0.4,9,93.8,74.23
4,8,32,0.4,9,94.2,73.07
